piece_a,piece_b,makam,usul,feature_diff
rengidil--sazsemaisi--aksaksemai----KOSE9865,gerdaniye--turku--aksak--bugun_benim--rumeli_uskup,rengidil,aksaksemai,-0.41542245014536605
rengidil--sazsemaisi--aksaksemai----rifat_kayakok,gerdaniye--turku--aksak--salina_salina--denizli,rengidil,aksaksemai,0.8345524693057849
ruhnevaz--sazsemaisi--aksaksemai----huseyin_sadettin_arel,gerdaniye--turku--nimsofyan--cezayirin_harmanlari--bursa,ruhnevaz,aksaksemai,1.3818578795058865
ruhnevaz--sazsemaisi--aksaksemai----ozdemir_hafizoglu,gerdaniye--turku--kapali_curcuna--daglar_basi--kerkuk,ruhnevaz,aksaksemai,0.4862105539756869
ruhnevaz--sazsemaisi--aksaksemai----rifat_kayakok,gerdaniye--turku--kapali_curcuna--kirklar_daginin--diyarbakir,ruhnevaz,aksaksemai,0.1553301703073986
ruhnevaz--sazsemaisi--aksaksemai----suphi_ezgi,gerdaniye--turku--kapali_curcuna--sirali_daglarin--salih_turhan,ruhnevaz,aksaksemai,0.5373170658237321
ruyidilara--sazsemaisi--aksaksemai----erzurumlu_hasib_dede,gerdaniye--turku--sofyan--bin_derdim--maras,ruyidilara,aksaksemai,-0.01838662358299903
ruyiirak--sazsemaisi--aksaksemai----kani_karaca,gerdaniye--turku--sofyan--cabur_dagdan--urfa,ruyiirak,aksaksemai,-0.3040094284569559
saba--sazsemaisi--aksaksemai----neyzen_aziz_dede,saba--turku--aksak--daracik_sokaklari--istanbul,saba,aksaksemai,0.18078259662485907
saba--sazsemaisi--aksaksemai----zaharya,saba--turku--azeriyuruksemai--kar_etmez--,saba,aksaksemai,0.24737229190700538
sazkar--sazsemaisi--aksaksemai----gavsi_baykara,huseyni--turku--sofyan--yaylanin_cimenine--trabzon,sazkar,aksaksemai,1.3550824622847777
sedaraban--sazsemaisi--aksaksemai----tanburi_cemil_bey,gerdaniye--turku--musemmen_ii--dost_eline--malatya,sedaraban,aksaksemai,0.6185067438466811
seddisaba--sazsemaisi--aksaksemai----zeki_atkosar,huzzam--turku--musemmen_ii--su_karsiki--hatay,seddisaba,aksaksemai,1.1320914727561933
segah--sazsemaisi--aksaksemai----hizir_aga,segah--turku--33333--cemberli_cargat--huseng_azeroglu,segah,aksaksemai,-0.1408369700771308
segah--sazsemaisi--aksaksemai----nayi_osman_dede,segah--turku--aksak--beyaz_giyme--bolu,segah,aksaksemai,0.5189692229520804
segah--sazsemaisi--aksaksemai----sadi_isilay,segah--turku--aksak--binnaz--usak,segah,aksaksemai,-0.026727230956330672
sehnaz--sazsemaisi--aksaksemai----arif_sami_toker,sehnaz--turku--sofyan--arpa_bugday--orta_anadolu,sehnaz,aksaksemai,0.2983846044691758
sehnazbuselik--sazsemaisi--aksaksemai----leon_hanciyan,gerdaniye--turku--nimsofyan--al_almanin--malatya,sehnazbuselik,aksaksemai,1.2415428435607725
sehnazbuselik--sazsemaisi--aksaksemai----seref_cakar,gerdaniye--turku--nimsofyan--derdim_coktur--erzincan,sehnazbuselik,aksaksemai,-0.06814046161387388
selmek--sazsemaisi--aksaksemai----mehmet_aga,gerdaniye--turku--sofyan--benusene_gideyim--,selmek,aksaksemai,0.5250296744144958
serefnuma--sazsemaisi--aksaksemai----suphi_ezgi,huzzam--turku--sofyan--aliverin_baglamami--,serefnuma,aksaksemai,0.20344873104196726
sevkefza--sazsemaisi--aksaksemai----said_dede,gerdaniye--turku--nimsofyan--ey_sevdigim--muhlis_akarsu,sevkefza,aksaksemai,-0.010410293955610328
sipihr--sazsemaisi--aksaksemai----zeki_arif_ataergin,gerdaniye--turku--raksaksagi--penceresi_yesil--konya,sipihr,aksaksemai,-0.2317408627824955
sultaniyegah--sazsemaisi--aksaksemai----kanuni_haci_arif_bey,gerdaniye--turku--sofyan--evlerinin_onu--urfa,sultaniyegah,aksaksemai,0.07120901532689738
suzidil--sazsemaisi--aksaksemai----abdulhalim_aga,gerdaniye--turku--sofyan--kaleden_kaleye--adiyaman,suzidil,aksaksemai,0.5936336089874816
suzidil--sazsemaisi--aksaksemai----fahri_kopuz-sedat_oztoprak,muhayyer--turku--duyek--iste_seni--sadettin_kaynak,suzidil,aksaksemai,0.22417349621172722
suzidil--sazsemaisi--aksaksemai----tanburi_cemil_bey,gerdaniye--turku--sofyan--karadir_kaslarin--zonguldak,suzidil,aksaksemai,0.22082347537009794
suzidil--sazsemaisi--aksaksemai--yadigar--ali_rifat_cagatay,gerdaniye--turku--sofyan--odasina_girdim--,suzidil,aksaksemai,1.4710216230787045
suzidilara--sazsemaisi--aksaksemai----tanburi_cemil_bey,suzidilara--turku--cevher--menevse_buldum--adana,suzidilara,aksaksemai,0.1993247635673019
suzinak--sazsemaisi--aksaksemai----enise_can,suzinak--turku--oynak--a_benim--osman_pehlivan,suzinak,aksaksemai,-0.8612060889234534
suzinak--sazsemaisi--aksaksemai----nikolaki,gerdaniye--turku--sofyan--su_daglari--fahri_kayahan,suzinak,aksaksemai,0.8242891381527904
tahirbuselik--sazsemaisi--aksaksemai----kemani_riza_efendi,gerdaniye--turku--turkaksagi--benden_selam--kastamonu,tahirbuselik,aksaksemai,0.8504437863941502
ussak--sazsemaisi--aksaksemai----corci,ussak--turku--aksak--findikli_bizim--,ussak,aksaksemai,0.9227372283058497
ussak--sazsemaisi--aksaksemai----dede_salih_efendi,ussak--turku--aksak--kizilciklar_oldu--edirne-kesan,ussak,aksaksemai,0.7738864606328436
ussak--sazsemaisi--aksaksemai----kantemiroglu,ussak--turku--aksak--sari_gulum--,ussak,aksaksemai,0.3486428791044305
ussak--sazsemaisi--aksaksemai----murat_karabag,ussak--turku--aksak--su_dalmanin--aydin,ussak,aksaksemai,0.34895966992306726
ussak--sazsemaisi--aksaksemai----neyzen_aziz_dede,ussak--turku--aksak--yangin_olur--,ussak,aksaksemai,0.014923725256984932
yegah--sazsemaisi--aksaksemai----neyzen_aziz_dede,hicaz--turku--raksaksagi--arabaci--istanbul,yegah,aksaksemai,1.693600391927569
